,Quote,Sentiment
0,"I'm for human lib, the liberation of all people, not just black people or female people or gay people.",1
1,"Yes, we become stronger when men and women, young and old, gay and straight, native-born and immigrant fight together to create the kind of country we all know we can become.",1
2,"My activism did not spring from my being gay, or, for that matter, from my being black. Rather, it is rooted fundamentally in my Quaker upbringing and the values that were instilled in me by my grandparents who reared me.",1
3,"The barometer for judging the character of people, in regard human rights, is now those who consider themselves gay, homosexual, lesbian. The judgment as to whether you can trust the future, the social advancement - depending on people - will be judged on where they come out on that question.",1
4,"I think the world has a place for gay superheroes, certainly.",1
5,"Being gay isn't something you choose, but you do face choices about whether and how to discuss it.",1
6,"I'm trying to appeal to the disenfranchised everybody, not just specifically gay.",1
7,"A gay person in office can set a tone, can command respect not only from the larger community but from the young people in our own community who need both examples and hope.",1
8,"How I can be an active voice for gay people but also the music industry? This is the art we need right now. This is what we need right now. We're in a renaissance, and we need people to rebel, come forth, and bring messages into art.",1
9,It's better to be a dictator than gay.,1
10,Anita Bryant had the effect of galvanizing the whole gay movement. She was somebody whom everybody could hate. She was easy to hate.,1
11,A man is relieved and gay when he has put his heart into his work and done his best; but what he has said or done otherwise shall give him no peace.,1
12,"The poetry you read has been written for you, each of you - black, white, Hispanic, man, woman, gay, straight.",1
13,We had gay burglars the other night. They broke in and rearranged the furniture.,1
14,"We worship an awesome God in the Blue States, and we don't like federal agents poking around our libraries in the Red States. We coach Little League in the Blue States and have gay friends in the Red States.",1
15,"We need somebody who's got the heart, the empathy, to recognize what it's like to be a young teenage mom, the empathy to understand what it's like to be poor or African-American or gay or disabled or old - and that's the criterion by which I'll be selecting my judges.",1
16,"And we have done more in the two and a half years that I've been in here than the previous 43 Presidents to uphold that principle, whether it's ending 'don't ask, don't tell,' making sure that gay and lesbian partners can visit each other in hospitals, making sure that federal benefits can be provided to same-sex couples.",1
17,"I believe marriage is between a man and a woman. I am not in favor of gay marriage. But when you start playing around with constitutions, just to prohibit somebody who cares about another person, it just seems to me that's not what America's about. Usually, our constitutions expand liberties, they don't contract them.",1
18,"I think that there's no doubt that as I see friends, families, children of gay couples who are thriving, you know, that has an impact on how I think about these issues.",1
19,"I see Americans of every party, every background, every faith who believe that we are stronger together: black, white, Latino, Asian, Native American; young, old; gay, straight; men, women, folks with disabilities, all pledging allegiance under the same proud flag to this big, bold country that we love. That's what I see. That's the America I know!",1
20,I have a big gay and lesbian following and they've been very loyal and kind to me.,1
21,I didn't know any gay people in my childhood.,1
22,"I am not gay, but if I were, I would be the first one running out of the closet.",1
23,"My cousin's gay, he went to London only to find out that Big Ben was a clock.",1
24,"Creativity has got to start with humanity and when you're a human being, you feel, you suffer. You're gay, you're sick, you're nervous or whatever.",1
25,"I know I will never be happy, but I know I can be gay!",1
26,I respect the fact that many denominations have different points of view with respect to gay marriage and they can hold that in the sanctity in the place of their religion and not bless them or solemnize them.,1
27,I'm not focused on the gay and lesbian movement.,1
28,It's a good thing to be foolishly gay once in a while.,1
29,"You can't wake up one day and say 'I'm for gay marriage,' and wake up the next day and say 'I'm against it.' Wake up one day and say, 'I'm pro-choice,' and the next day wake up and say, 'I'm pro-life.' There's no credibility there.",1
30,"Manbags are only acceptable if you are Italian, French, or gay.",1
31,I believe the GOP should pitch its big-top tent around fiscal conservatism and a muscular foreign policy rather than carnival bark outside the sideshow tents of gay marriage and reproductive choice.,1
32,I believe the scripture says that being gay is a sin.,1
33,"I'm not for gay marriage, but I'm not for discriminating against people.",1
34,Sometimes we look at gay being a bigger sin than being proud or not telling the truth. I don't think God categorizes sins.,1
35,"Whether a person is straight or gay, Republican, Democrat, good person, not a good person, they're all welcome, because to me, church is a place you're supposed to get healed and whole and loved.",1
36,"Young, gay and stuck in Arkansas? Sounds like a horror flick.",1
37,"America is off-the-hook gay. I will not go all Ann Coulter on you and say, 'Our gays are better than their gays,' but as far as countries go, we are in-your-face gay.",1
38,"Football is at least as 'gay' as rugby, Greco-Roman wrestling and the film '300.'",1
39,I started being really proud of the fact that I was gay even though I wasn't.,1
40,"Throughout my life, I've always been really close with girls and made friends with girls. And I've always been a really sickly, feminine person anyhow, so I thought I was gay for a while because I didn't find any of the girls in my high school attractive at all.",1
41,"I thought I would try to be gay for a while, but I'm just more sexually attracted to women. But I'm really glad that I found a few gay friends, because it totally saved me from becoming a monk or something.",1
42,"What 'March' is saying is that it doesn't matter whether we are black or white, Latino or Asian. It doesn't matter whether we are straight or gay.",1
43,"We need someone who will stand up and speak up and speak out for the people who need help, for people who are being discriminated against. And it doesn't matter whether they are black or white, Latino, Asian or Native American, whether they are straight or gay, Muslim, Christian, or Jews.",1
44,"A person once asked me, in a provocative manner, if I approved of homosexuality. I replied with another question: 'Tell me: when God looks at a gay person, does he endorse the existence of this person with love, or reject and condemn this person?' We must always consider the person.",1
45,"We cannot insist only on issues related to abortion, gay marriage and the use of contraceptive methods. The teaching of the church is clear, and I am a son of the church, but it is not necessary to talk about these issues all the time.",1
46,"Tell me: when God looks at a gay person, does he endorse the existence of this person with love, or reject and condemn this person?... It is necessary to accompany them with mercy.",1
47,"If someone is gay and he searches for the Lord and has good will, who am I to judge? We shouldn't marginalise people for this. They must be integrated into society.",1
48,"I have friends that are gay, and we study the Bible together.",1
49,"Gay Liberation? I ain't against it, it's just that there's nothing in it for me.",1
