,Quote,Sentiment
0,If you re involved in the gay and lesbian lifestyle it s bondage It is personal bondage personal despair and personal enslavement ,0
1,Our children will be forced to learn that homosexuality is normal and natural and that perhaps they should try it and that ll be very soon in our public schools all across the state beginning in kindergarten ,0
2,It s better to be a dictator than gay ,0
3,I believe a marriage is between a man and a woman ,0
4,It isn t that some gay will get some rights It s that everyone else in our state will lose rights For instance parents will lose the right to protect and direct the upbringing of their children Because our K 12 public school system of which ninety per cent of all youth are in the public school system they will be required to learn that homosexuality is normal equal and perhaps you should try it And that will occur immediately that all schools will begin teaching homosexuality ,0
5,And what a bizarre time we re in Jan when a judge will say to little children that you can t say the pledge of allegiance but you must learn that homosexuality is normal and you should try it ,0
6,Don t misunderstand I am not here bashing people who are homosexuals who are lesbians who are bisexual who are transgender We need to have profound compassion for people who are dealing with the very real issue of sexual dysfunction in their life and sexual identity disorders ,0
7,You have a teacher talking about his gayness The elementary school student goes home then and says Mom What s gayness We had a teacher talking about this today The mother says Well that s when a man likes other men and they don t like girls The boy s eight He s thinking Hmm I don t like girls I like boys Maybe I m gay And you think Oh that s that s way out there The kid isn t gonna think that Are you kidding That happens all the time You don t think that this is intentional the message that s being given to these kids That s child abuse ,0
8,It s part of Satan I think to say that this is gay It s anything but gay ,0
9,This is a very serious matter because it is our children who are the prize for this community they are specifically targeting our children ,0
10,The sex curriculum will be essentially by taught by the local gay community ,0
11,To stop challenging someone from using anti gay language simply because they persist in using anti gay language strikes me as a defeatist approach ,0
12,We are wide open and vulnerable and in all likelihood an activist judge will strike down our Defense of Marriage Act our state law against gay marriage this year And in all likelihood we will have gay marriage in 2004 in Minnesota if we don t get this amendment on the ballot for November ,0
13,I look at American Christianity and I m almost in despair I don t want to be identified with it The Christian vote in America is an anti abortion anti homosexual vote I consider that to be anti female and anti gay and I don t want to be identified with a God who is anti anything ,0
14,If anti gay stuff is always coming out of your mouth something very gay is probably going in ,0
15,If I could take all my parts with me when I go somewhere and not have to say to one of them No you stay home tonight you won t be welcome because I m going to an all white party where I can be gay but not Black Or I m going to a Black poetry reading and half the poets are anti homosexual or thousands of situations where something of what I am cannot come with me The day all the different parts of me can come along we would have what I would call a revolution,0
16,You know I believe that marriage is between a man and a woman ,0
17,As long as anti gay legislation exists in any state I strongly believe big events such as the Final Four and Super Bowl should not be held in those states cities ,0
